dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2019,continentExp,Cumulative_number_for_14_days_of_COVID-19_cases_per_100000,lockdown
12/14/2020,14,12,2020,18447.00,144.00,United_Kingdom,UK,GBR,66647112,Europe,348.2161388,No
12/13/2020,13,12,2020,21501.00,520.00,United_Kingdom,UK,GBR,66647112,Europe,338.7753696,No
12/12/2020,12,12,2020,21672.00,424.00,United_Kingdom,UK,GBR,66647112,Europe,330.3278918,No
12/11/2020,11,12,2020,20964.00,516.00,United_Kingdom,UK,GBR,66647112,Europe,319.9253405,No
12/10/2020,10,12,2020,16578.00,533.00,United_Kingdom,UK,GBR,66647112,Europe,314.8103402,No
12/9/2020,9,12,2020,12281.00,599.00,United_Kingdom,UK,GBR,66647112,Europe,317.2635598,No
12/8/2020,8,12,2020,14718.00,189.00,United_Kingdom,UK,GBR,66647112,Europe,315.7901276,No
12/7/2020,7,12,2020,17271.00,231.00,United_Kingdom,UK,GBR,66647112,Europe,316.8884497,No
12/6/2020,6,12,2020,15539.00,397.00,United_Kingdom,UK,GBR,66647112,Europe,318.9755619,No
12/5/2020,5,12,2020,16298.00,504.00,United_Kingdom,UK,GBR,66647112,Europe,325.4814702,No
12/4/2020,4,12,2020,14878.00,414.00,United_Kingdom,UK,GBR,66647112,Europe,331.4142104,No
12/3/2020,3,12,2020,16170.00,648.00,United_Kingdom,UK,GBR,66647112,Europe,343.4732476,No
12/2/2020,2,12,2020,13429.00,603.00,United_Kingdom,UK,GBR,66647112,Europe,348.6332611,Yes
12/1/2020,1,12,2020,12330.00,203.00,United_Kingdom,UK,GBR,66647112,Europe,358.5691755,Yes
11/30/2020,30,11,2020,12155.00,215.00,United_Kingdom,UK,GBR,66647112,Europe,372.122651,Yes
11/29/2020,29,11,2020,15871.00,479.00,United_Kingdom,UK,GBR,66647112,Europe,391.3387875,Yes
11/28/2020,28,11,2020,14739.00,520.00,United_Kingdom,UK,GBR,66647112,Europe,407.8271239,Yes
11/27/2020,27,11,2020,17555.00,498.00,United_Kingdom,UK,GBR,66647112,Europe,426.6756525,Yes
11/26/2020,26,11,2020,18213.00,695.00,United_Kingdom,UK,GBR,66647112,Europe,450.5551568,Yes
11/25/2020,25,11,2020,11299.00,608.00,United_Kingdom,UK,GBR,66647112,Europe,457.6627416,Yes
11/24/2020,24,11,2020,15450.00,479.00,United_Kingdom,UK,GBR,66647112,Europe,471.3362524,Yes
11/23/2020,23,11,2020,18662.00,125.00,United_Kingdom,UK,GBR,66647112,Europe,480.188849,Yes
11/22/2020,22,11,2020,19875.00,340.00,United_Kingdom,UK,GBR,66647112,Europe,483.0546896,Yes
11/21/2020,21,11,2020,20252.00,511.00,United_Kingdom,UK,GBR,66647112,Europe,490.6799262,Yes
11/20/2020,20,11,2020,22915.00,501.00,United_Kingdom,UK,GBR,66647112,Europe,495.233762,Yes
11/19/2020,19,11,2020,19609.00,529.00,United_Kingdom,UK,GBR,66647112,Europe,497.0688002,Yes
11/18/2020,18,11,2020,20051.00,598.00,United_Kingdom,UK,GBR,66647112,Europe,505.4232508,Yes
11/17/2020,17,11,2020,21363.00,213.00,United_Kingdom,UK,GBR,66647112,Europe,505.3737362,Yes
11/16/2020,16,11,2020,24962.00,168.00,United_Kingdom,UK,GBR,66647112,Europe,501.7531742,Yes
11/15/2020,15,11,2020,26860.00,462.00,United_Kingdom,UK,GBR,66647112,Europe,499.1904225,Yes
11/14/2020,14,11,2020,27301.00,376.00,United_Kingdom,UK,GBR,66647112,Europe,491.7707462,Yes
11/13/2020,13,11,2020,33470.00,563.00,United_Kingdom,UK,GBR,66647112,Europe,487.4254716,Yes
11/12/2020,12,11,2020,22950.00,595.00,United_Kingdom,UK,GBR,66647112,Europe,471.8133923,Yes
11/11/2020,11,11,2020,20412.00,532.00,United_Kingdom,UK,GBR,66647112,Europe,474.4391625,Yes
11/10/2020,10,11,2020,21350.00,194.00,United_Kingdom,UK,GBR,66647112,Europe,478.1497509,Yes
11/9/2020,9,11,2020,20572.00,156.00,United_Kingdom,UK,GBR,66647112,Europe,477.4595484,Yes
11/8/2020,8,11,2020,24957.00,413.00,United_Kingdom,UK,GBR,66647112,Europe,476.2862043,Yes
11/7/2020,7,11,2020,23287.00,355.00,United_Kingdom,UK,GBR,66647112,Europe,473.3678483,Yes
11/6/2020,6,11,2020,24138.00,378.00,United_Kingdom,UK,GBR,66647112,Europe,469.2326353,Yes
11/5/2020,5,11,2020,25177.00,492.00,United_Kingdom,UK,GBR,66647112,Europe,464.881359,Yes
11/4/2020,4,11,2020,20018.00,397.00,United_Kingdom,UK,GBR,66647112,Europe,467.1470236,No
11/3/2020,3,11,2020,18950.00,136.00,United_Kingdom,UK,GBR,66647112,Europe,469.115601,No
11/2/2020,2,11,2020,23254.00,162.00,United_Kingdom,UK,GBR,66647112,Europe,468.8950363,No
11/1/2020,1,11,2020,21915.00,326.00,United_Kingdom,UK,GBR,66647112,Europe,459.4827755,No
